init_state,Value
x xxo oox,-1
 o ooxxx ,1
xo ooxxx ,0
 o     x ,0
o xoxx  o,1
o xoxxx o,1
  xx  o  ,0
o xx  o  ,1
 xx x oo ,-1
    x o x,0
oxo  xxo ,0
xx  oo x ,-1
xx  ooox ,1
xo  xx oo,1
o ooxxx  ,0
oxooxxx  ,0
o       x,1
o  x    x,0
 o  x ox ,0
 o  x oxx,-1
o xxxoo  ,0
oxxxxoo  ,0
ox  oxx o,-1
ooxx x   ,1
ooxxox   ,1
xo    oxx,0
xo o  oxx,1
x x   oo ,1
x x x oo ,-1
oo x xxxo,-1
x   oxoxo,0
x x oxoxo,0
x xoo x  ,-1
x x  o o ,1
x xx o o ,1
xx  o    ,0
o ooxx  x,-1
o ooxx xx,-1
oxoo xx  ,1
 xooox x ,0
 xooox xx,-1
oxooxx ox,0
 oox xo x,1
 ooxxxo x,1
 oxx o x ,0
   x oxo ,1
 oxxxoox ,0
 x      o,1
 x   x  o,-1
 oox  xx ,-1
 ooxo xx ,1
o  xo  x ,0
o  xox x ,-1
 xoxo   x,-1
 xoxo  ox,0
       ox,1
  x    ox,1
 xo x o x,1
   x   o ,1
   x x o ,-1
 xx o o  ,1
 oxoxxo  ,1
xoxoxxo  ,0
o   x o x,0
o   xxo x,-1
xx x o oo,1
xx xxo oo,-1
xo x  o  ,1
xo x xo  ,-1
x o xo   ,1
xxo xo   ,-1
x ox o ox,1
xxox o ox,1
oxx  o   ,1
oxxx o   ,0
x x oo xo,1
 x oo xx ,-1
 x oo xxo,-1
o xx  o x,0
ooxx  o x,1
  xo  xox,1
 oxo  xox,1
o  x x o ,1
o  xxx o ,1
   x   ox,0
o  x   ox,1
   ox xo ,1
   ox xox,1
 x oxx  o,0
 xooxx  o,1
 xx   o  ,-1
 xx   o o,1
o o    xx,1
o o x  xx,-1
   x  ox ,0
   x  oxo,1
  ox xxoo,1
x ox xxoo,1
  x o  ox,1
x x o  ox,-1
 x x   o ,0
ox x   o ,0
oxoo   xx,1
oxoo  xxx,1
   xooxxo,1
ooxx   ox,1
ooxxx  ox,1
    xox  ,1
o   xox  ,1
 ox  x  o,1
 ox  xx o,-1
oo  xx ox,1
oo xxx ox,1
  oo x xx,-1
  ooox xx,1
    xoxox,1
  o xoxox,1
  ooxo xx,1
  ooxoxxx,1
x ooxx xo,0
 xoxx o  ,1
 xoxx oo ,1
o  o xx x,1
o oo xx x,1
xoxxoo   ,1
xoxxoox  ,1
 oo xx xo,1
 ooxxx xo,1
x xxxo oo,-1
x xxxoooo,-1
xxoo x   ,0
xxoo x  o,0
o x x    ,0
o xox    ,1
    x xoo,1
   xx xoo,1
o  xx o  ,1
 xx o ox ,-1
xox  x  o,-1
xox  xo o,0
  xox ox ,-1
  xox oxo,1
 xxooxox ,-1
 xxooxoxo,1
o xox  x ,-1
o xox ox ,-1
x x oxo o,1
   oxx o ,1
 x oxx o ,-1
xx    o o,1
xx   xo o,-1
  xo  xo ,1
